application_id,prediction,approval_probability,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Total_Income,DTI,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
LP001030,1,0.9201432,-2.2520864,0.45892945,0.7127698,0.39062044,0.55219686,0.9217118,0.40792927,-0.040384486,-0.011855086,0.15090618,0.029311012,0.14320087,0.046088506,0.27896458,-0.019942794,0.15496953,0.01687864,0.060521904,0.0050960123,0.08854717,-0.3834095,-0.044761367
LP001032,1,0.802305,0.1841377,-1.0372131,0.17399997,-0.007885346,0.54798627,0.7858853,0.027185481,-0.062007386,-0.021723328,0.13427131,0.008397971,-0.03816465,0.05409524,-0.09597178,-0.02957053,0.2758796,0.022946524,0.055816587,0.0035835244,0.1106469,-0.41039467,-0.059233062
LP001034,1,0.6100131,-0.43883383,-1.1488687,0.37518248,0.31218705,0.5812158,1.0122815,-0.04778371,-0.13229012,-0.028848846,-0.03943213,-0.0017538156,0.21204734,-0.052167837,-0.04867676,-0.012181978,-0.5817665,-0.061900288,0.0648186,0.0068049813,0.078901134,-0.3310542,-0.04860746
LP001036,0,0.035267834,-0.49342075,-0.9632859,0.25868976,-0.07837679,-4.014228,0.96766955,-0.021485003,0.31384122,0.07885165,0.1185733,0.008143576,-0.07705533,0.04328065,-0.03579004,-0.09475171,0.15313393,0.009899839,0.05934847,0.0032594895,0.07902654,-0.41384804,0.011548393
LP001038,0,0.08485811,-0.039104052,-1.4005115,0.035716437,-0.013076388,0.53110474,-0.40299934,0.0073241806,-0.049762163,-0.015845371,-0.0032481323,0.0003503055,-0.072257705,0.04624184,-0.093680784,-0.029972734,-0.85874283,-0.059646405,0.04784427,0.0025186162,-0.29550663,-0.5301234,0.03718279
LP001041,1,0.9612023,-0.50273436,1.789,0.33940762,-0.014859574,0.6241831,0.50211614,0.11898092,-0.043347947,-0.013551194,-0.011386813,0.005980443,-0.03229725,0.12925103,-0.07946995,-0.052029304,0.10143809,0.00406241,0.030713769,0.004089535,0.055549882,-0.4123602,-0.11100735
LP001043,0,0.014638144,1.1343338,-0.97980165,0.25522724,-0.13917428,-3.5582356,-0.7741128,0.49643755,-0.05638661,-0.01659858,-0.04558666,-0.0049553653,-0.24347956,0.0092058955,-0.09986065,-0.12124125,-0.36199275,-0.022226684,-0.02993767,-0.00410293,0.10075117,-0.5550181,0.029281162
LP001046,1,0.88564235,0.5587035,1.6703894,-0.9326132,-0.02134783,0.5421915,-0.73249346,-0.00068305037,-0.036383003,-0.00852897,0.017818803,0.0053228764,0.23017408,-0.2011432,-0.1222397,-0.051803447,0.031726178,0.0043148748,0.11102207,0.0066353246,0.07665994,-0.036869977,0.15803671
LP001047,0,0.10947343,-0.5032941,1.0795159,0.35689026,-0.051566415,-4.2271547,0.049853865,-0.08304402,-0.010728382,-0.0008876622,-0.08097501,0.009098766,-0.01364729,0.0870033,-0.041280977,-0.06511004,-0.24169344,-0.02118786,0.0752364,0.0016952862,0.05286453,0.7538984,0.00028748007
LP001050,0,0.058871027,-0.5266174,1.0641285,0.36595842,-0.10899382,-4.2146096,0.61467904,-0.02643095,-0.021609236,-0.008696165,-0.122738115,-0.010885794,0.045632955,0.09431428,0.40677103,-0.11105399,-0.37981647,-0.03622263,0.021226825,0.00057047274,-0.22128952,-0.37265942,-0.0014858777
LP001052,0,0.2947382,-0.7749208,0.6433103,-0.19590212,-0.036421306,0.5405973,-1.3226868,0.052408576,-0.011215737,-0.0055457866,0.015609767,-0.000998746,0.023717783,-0.93364173,-0.11664037,-0.039691743,0.046676785,0.0028765458,-0.014180763,-0.0077832714,0.071826085,0.42521626,-0.013186321
LP001066,1,0.94776654,1.3104641,-0.6491542,-0.23016126,-0.057495765,0.58803517,0.28137773,0.10340278,-0.019550353,-0.0037417696,0.05590717,0.008720148,-0.16094838,0.15826933,-0.10900326,-0.038289614,0.13324715,0.0052739023,-0.2157429,-0.014178341,0.10033561,0.8153318,0.058191758
LP001068,1,0.983404,-0.4296884,1.0514334,0.37351885,0.004601111,0.6357894,0.49824855,0.07845318,-0.014268177,-0.009541581,-0.026600944,0.0014396874,0.025740772,0.19931254,-0.081320964,-0.012112998,0.12251903,0.00406241,0.07200164,0.0025421048,0.0797195,0.6873229,0.040588222
LP001073,1,0.90649474,-0.46855855,0.3939471,0.39260438,-0.030161098,0.6503478,0.56741095,0.07359228,-0.041635834,-0.012367588,-0.037354905,-0.0009989793,0.063880675,0.060338143,0.5891112,-0.036597632,-0.48215172,-0.024557715,0.03472877,0.0017591105,0.16131257,-0.34711662,-0.014061745
LP001086,0,0.09568911,-1.9571668,-1.2490112,0.58788705,0.008290777,0.5152432,0.73937654,0.027395487,-0.13721004,-0.032889728,-0.14748794,-0.024116969,-0.14677835,0.022012956,-0.04916493,-0.021398589,-0.6612645,-0.053588822,0.057678223,0.0064214915,0.078210816,-0.5499652,-0.036636315
LP001087,1,0.9936335,-0.49565864,0.8730846,0.4334409,-0.0096846875,0.61095846,0.7850223,0.10082192,0.06115761,0.014826661,0.11950857,0.011140536,-0.0028206077,0.21889086,0.5961722,-0.02999735,0.10084221,0.0022311783,0.04638371,0.0005039843,0.1403188,0.6619597,0.033120357
LP001091,0,0.2444763,-0.68798846,1.3274801,-0.901477,-0.03449717,0.55314183,-1.5055066,-0.024401866,-0.037639003,-0.0070970897,0.0032451907,-0.002005026,0.19384117,-0.37675047,-0.121897265,-0.05855044,0.027068395,0.0006843172,-0.02151574,-0.006196039,0.06316383,-0.23016918,-0.059321422
LP001095,1,0.6236763,-0.46026462,-1.1018163,0.25758943,0.018595444,0.6040734,1.0586559,0.04163212,-0.15711583,-0.031442516,-0.13232547,-0.0071893334,-0.13366073,0.044581484,-0.046730295,-0.029142037,0.19721632,0.016061684,0.059291407,0.0064214915,0.090730846,-0.47984463,-0.08822943
LP001097,0,0.11430245,-0.31107783,-1.1695337,0.21421155,-0.044506148,0.5264781,-0.709035,0.03275078,-0.03266566,-0.008877308,0.03900797,-0.0042544696,0.12031778,-0.46139884,-0.08917879,-0.044669062,0.16170962,0.017607199,-0.4753074,-0.041910537,-0.234997,-0.30772135,-0.0025735195
LP001098,1,0.97655857,-0.44102463,0.5447316,0.39297867,-0.017534075,0.6619676,0.62552327,0.085250825,-0.014971787,-0.009375292,-0.030649586,0.00083474244,0.015624549,0.18751143,-0.08394288,-0.014841242,0.13560063,0.007248997,0.05617249,0.0036318705,0.10387526,0.71907204,0.023748465
LP001100,1,0.8024859,1.1312833,0.9212775,-0.8543377,-0.057413753,0.4710234,-1.6158488,-0.06839355,-0.027821146,-0.0077019464,0.06783562,0.00618931,0.24070047,0.118704244,-0.11653174,0.6304475,0.09298628,0.0035196305,0.030707698,0.0050164806,-0.18342543,-0.11156589,-0.05284132
LP001106,1,0.96235037,-0.51821375,1.217421,0.2551502,0.039706323,0.6404477,0.8561073,0.058937207,-0.03384311,-0.00645313,0.09687969,0.021080723,-0.040408075,0.08225144,-0.05378379,-0.024164982,0.11025814,0.0034678224,0.082486965,0.0053317263,0.06904383,-0.34975418,-0.048988134
LP001109,0,0.022941103,-1.5001409,0.20779796,0.2657712,-0.046973635,-4.4155464,1.3059406,-0.0887289,-0.059456583,-0.013729287,0.12163092,0.018921273,-0.08728613,0.04262291,-0.037160613,-0.096731134,0.08648623,0.009095741,0.05455797,0.0032594895,0.0696522,-0.40345582,0.03376247
LP001112,1,0.9663341,-0.4700302,0.27469274,0.23082772,-0.010124491,0.6520145,0.6251753,0.033923544,0.055557683,0.02205646,-0.0422035,0.00083474244,0.019789964,0.19638671,-0.083611965,-0.013037813,0.18721196,0.0054177656,0.059201784,0.0036318705,0.13820216,0.6801599,0.012850529
LP001114,1,0.8666263,-0.37622008,2.0649586,-0.3821871,-0.021008752,0.51832783,-0.6647848,0.18650036,-0.04289655,-0.009634014,0.02421979,0.0001295507,-0.07649124,0.10301341,-0.110102855,-0.051995024,0.057821423,0.0029606703,0.13565375,0.010153119,0.0717099,-0.38158777,0.03481798
LP001116,1,0.9773237,-0.359112,0.6759492,0.46624312,-0.027902048,0.6201144,0.8993689,0.09960279,-0.024826985,-0.010663247,0.09763303,0.008069829,0.0028537633,0.16322972,-0.084966645,-0.015047612,-0.43273783,-0.024557715,0.0624898,0.0036318705,0.1035677,0.74471784,0.017744435
LP001119,1,0.64962393,-0.44842815,-1.1181602,0.25954458,-0.0050729783,0.5979238,1.0862817,0.060128983,-0.1454746,-0.031224478,-0.07748901,-0.0042042867,-0.11612415,0.045143675,-0.04965307,-0.025414743,0.19091137,0.016061684,0.062253624,0.0064214915,0.08138907,-0.469111,-0.07641029
LP001120,1,0.9319031,-1.7372993,0.4765788,0.64487904,0.009853707,0.6172718,2.122059,0.303928,-0.10435024,-0.024744688,-0.1581778,-0.023618134,-0.12827861,0.056791093,-0.051628254,-0.025921699,0.12920205,0.009243511,0.06861387,0.0067506423,0.103181235,-0.41137737,-0.044753768
LP001123,1,0.79797095,-0.5025813,-1.0734749,0.2661214,0.029630888,0.6212743,1.3684953,0.009333902,-0.09386641,-0.026817191,0.26407215,0.033302944,-0.11137135,0.04131176,-0.039157696,-0.03011685,0.21540828,0.016061684,0.050382905,0.0064214915,0.10103888,-0.4828978,-0.06700612
LP001131,1,0.9793061,-0.43684492,0.94287866,0.35456482,-0.020112593,0.631216,0.2880898,0.09538085,-0.014160883,-0.0070717614,0.0022283453,-0.00017130453,0.004432502,0.19183007,-0.081754774,-0.03240928,0.104368314,0.003861478,0.03733638,0.0025421048,0.086503364,0.8772817,0.048922904
LP001136,0,0.06471465,-0.19715436,-1.4523029,0.28818277,-0.04040862,0.53880215,-0.67936134,0.05915284,-0.0655266,-0.015211965,0.0497776,0.0053086476,-0.08816993,0.05116948,-0.088391654,-0.02846898,-0.71291333,-0.06721488,-0.51280344,-0.05325944,0.098523654,-0.48923868,-0.049450904
LP001137,1,0.8861502,-0.41816035,-1.0157058,0.27913287,0.020037625,0.6124224,1.4753441,0.04456802,0.37546477,0.09530606,-0.04614083,-0.0071893334,-0.0966581,0.04724427,-0.038442165,-0.024993952,0.18414076,0.0142304525,0.062631726,0.0064214915,0.10970455,-0.38311866,-0.02232832
LP001138,1,0.94168055,0.9749561,-0.86502266,0.5653217,-0.050162915,0.59089047,0.60925394,0.37506726,-0.04938885,-0.0138666425,-0.039342828,-0.0014419707,0.19002363,-0.23422071,-0.092296705,-0.053500265,0.18307514,0.022946524,0.025026925,0.0028038798,0.10722894,-0.24876972,0.0050547086
LP001144,1,0.8672931,0.75285226,-0.90910643,0.12439497,-0.0128155295,0.59978473,0.8911131,0.035890818,-0.051329028,-0.013019057,-0.027573334,-0.0007308329,-0.13488875,0.05580617,-0.09507956,-0.052102424,0.27939665,0.022946524,0.019388225,0.0024747285,0.10580143,-0.42784056,-0.06622522
LP001146,0,0.10821911,-0.5425608,1.5397136,0.25659427,-0.08184584,-4.1999273,0.31424028,0.0076235733,0.14769651,0.044036,-0.095732406,-0.0060923826,-0.03035123,0.11694204,-0.06480403,-0.115686424,0.08434154,0.006640366,0.031017551,0.0017835414,0.0880043,-0.41900778,0.03021787
LP001151,1,0.98472947,-0.41350064,0.89987344,0.25000116,0.0037663816,0.58791274,0.5965358,0.07410461,0.059042126,0.012502175,0.06713018,0.010499141,0.00086603663,0.22307613,-0.081780314,-0.033608295,0.12409005,0.0020302464,0.046824418,0.0025421048,0.097282,0.82501036,0.034145795
LP001155,1,0.9855493,-1.072329,0.6638403,0.4759315,0.042197097,0.69271004,1.6898658,0.034200046,0.07687015,0.042081024,0.1365399,0.03626858,-0.02703002,0.10883388,-0.048218712,-0.0026545771,-0.2508582,-0.022961818,0.0803253,0.0062561305,0.08221814,0.68858063,0.0116934385
LP001157,1,0.82608443,-0.38144764,-0.8048715,0.27817902,0.044191144,0.52053225,2.2181048,-2.2591112,0.20342578,0.08182815,-0.098070666,-0.011063931,-0.07274319,0.100097,-0.03320745,-0.018091712,0.17754972,0.0142304525,0.068445586,0.0062561305,0.07701675,0.6195757,0.04920744
LP001164,1,0.7891034,-0.3968804,-0.98865736,0.27714804,-0.015881337,0.5912982,-0.092521064,0.03614585,0.01650824,-0.012235926,-0.034427203,-0.010247718,-0.013852562,0.13347921,-0.052747373,-0.012560393,0.14878964,0.0116413515,0.09629823,0.0062561305,0.085322775,0.7381922,0.030367417
LP001179,0,0.3257506,-0.45882493,-1.3033489,0.1410114,-0.0033581357,0.5884013,-0.76401025,0.023919707,-0.049000464,-0.009428558,0.0006998639,0.005692674,0.09576295,0.052496582,0.33107853,-0.03080325,0.2036422,0.013472583,0.054129083,0.0033024389,0.13581352,-0.45727205,-0.07893927
LP001186,0,0.018593749,1.4306612,-0.651088,-0.6173945,-0.105343506,-3.7707775,-0.6321716,-0.046868965,0.14835426,0.010830345,-0.04593564,-0.0064379494,0.20076084,-0.17500532,-0.09059712,-0.13266192,0.06899098,0.006595017,-0.46355593,-0.027738538,0.13463353,-0.23617701,0.25667158
LP001194,1,0.9798355,-0.5350383,0.34501016,0.37025753,0.020272586,0.7013742,0.52187496,0.05428963,-0.0059117326,-0.0075491937,0.078054026,0.030333977,0.036072962,0.14049986,0.37166864,-0.009608271,0.10056454,0.0069671576,0.07870067,0.0042180093,0.098225795,0.65951216,0.04557482
LP001195,1,0.99222517,-0.58981484,0.5594139,0.39471844,0.04246866,0.7147434,1.6666869,0.06331523,-0.023539247,-0.014971196,0.19821732,0.03626858,-0.036921147,0.11897168,-0.048533432,-0.010491024,0.096836224,0.009243511,0.0778021,0.0062561305,0.079259545,0.69665253,0.03437557
LP001197,1,0.95985067,-0.40364406,1.1521045,0.2574779,0.0010946617,0.63666755,1.0738438,0.05133675,-0.023726335,-0.008413964,-0.025585536,0.00083474244,-0.022781117,0.14619294,-0.074905634,-0.051323477,0.16773681,0.0035996786,0.030545369,0.0024617524,-0.18047412,-0.37732476,0.040357336
LP001198,1,0.8738795,1.3125638,0.4816922,-0.3401786,-0.047478188,0.56668323,-1.1523091,0.15195005,-0.034950584,-0.00852897,0.033994827,0.0075012147,0.32906982,-0.2038893,-0.11985108,-0.059247717,0.03394181,0.0039108642,0.11053721,0.008151427,0.10337971,-0.17857695,0.15924539
LP001199,1,0.92222285,-0.5776101,1.406626,0.06991378,0.018136466,0.6317835,0.17286886,0.06408955,-0.035202716,-0.0068624374,-0.003770419,-0.002005026,0.077115364,0.087808765,0.55311185,-0.04862506,-0.3822135,-0.015646035,0.021917215,0.0006693451,0.10011954,-0.3760564,-0.061325368
LP001205,1,0.94952303,-0.521337,1.7827165,0.32296124,-0.0011386303,0.63227093,0.29665327,0.118324414,-0.043347947,-0.013551194,0.013461706,0.005980443,-0.037515137,0.109307535,-0.07946995,-0.050738785,0.06323071,0.003861478,0.030483337,0.004089535,0.055549882,-0.41669583,-0.11874767
LP001206,1,0.93813586,-0.5028949,-1.0260974,0.25238913,0.04028415,0.56726813,2.0902803,0.0028097217,-0.08456832,-0.023538679,0.22653586,0.013752783,0.18726729,0.04092477,-0.03725636,0.30007192,0.2447529,0.016061684,0.042984195,0.0064214915,0.0818825,-0.38944831,-0.10902401
LP001207,0,0.0638143,-0.59866107,1.7423563,-0.33445174,0.5784021,-3.6997135,0.37423575,-0.20265344,-0.020911569,1.7521787e-05,-0.04661043,-0.00064204726,-0.03426414,0.07177564,-0.0648718,-0.111487515,-0.4550758,-0.028902384,-0.22689687,-0.02118701,-0.056717407,-0.39080378,0.06313032
LP001213,0,0.007011726,0.07697598,-0.9865074,0.11918373,-0.11908821,-3.6827672,0.09548093,-0.054934178,-0.024956267,-0.014355667,-0.14935751,-0.011370231,0.03939945,-0.40393993,-0.071100906,-0.109693415,0.17655194,0.019926107,0.04386162,0.0013096277,-0.22947651,-0.39496484,-0.0514042
LP001222,0,0.060789328,-0.4102888,-0.8862842,0.19189999,-0.06308815,-3.878406,0.20735914,-0.06253556,0.10110741,0.018389534,0.19820867,0.013189377,-0.0084537035,0.101937845,-0.046503134,-0.07107363,0.120840624,0.0073107383,0.088703826,0.0030941288,0.058768623,0.7791026,0.0209999
LP001225,1,0.58814365,0.14237289,1.2028437,-1.2953943,-0.022410197,0.52471334,-1.5458584,-0.019403316,-0.019417845,-0.007878846,0.008468285,0.0074036927,-0.10669788,0.14933416,-0.12183383,-0.02852429,0.049462397,0.0043148748,0.092000455,0.0037758765,0.07485746,0.5145075,-0.028434606
LP001228,0,0.12278637,-0.48016793,1.1842095,-0.04548376,0.44223607,-3.5764632,0.8121701,-0.1318513,-0.042078935,-0.013102023,0.15967141,0.010687948,-0.03354756,0.04355492,-0.06752573,-0.10486357,-0.5059639,-0.030496584,0.04842688,0.0017699364,0.053699706,-0.4187441,-0.050537575
LP001233,1,0.7989207,1.5657355,-0.63890654,-0.7440452,-0.04888555,0.5713757,-0.51016176,0.0025703101,-0.04389408,-0.009740546,0.022029268,0.006886425,0.33937696,-0.16022262,-0.11810619,-0.06019457,0.09451579,0.005853269,0.108409084,0.005354948,0.13079728,-0.10849879,0.19122007
LP001238,1,0.9571059,1.7121123,-0.831726,0.10107924,0.555973,0.43547374,0.4361716,0.22004625,-0.062082507,-0.010584658,0.0541077,0.0047050314,0.36049035,0.00024612935,-0.108084925,0.50802296,-0.67960405,-0.063051656,0.021424156,-0.007994553,0.08740756,-0.31279427,-0.0942551
LP001241,0,0.04352141,-0.36701417,-0.9196973,0.12878767,-0.064177886,-3.7633047,-0.13709113,-0.08028125,0.05543701,-0.019321727,0.20977461,0.013189377,-0.022318674,0.09493467,-0.04577595,-0.07107363,0.16029954,0.0073107383,0.08628544,0.0030941288,0.065340266,0.7794977,0.018003574
LP001243,1,0.86073464,-0.5267594,1.6189293,-0.58802325,0.009641798,0.62335664,0.33723086,0.0035035089,-0.03766092,-0.00930184,-0.0056596943,-0.0011775846,-0.04004927,0.12708943,-0.077670604,-0.054208424,0.1088134,0.0034165173,0.02484582,0.003600567,0.042827684,-0.38329294,-0.13614143
LP001245,1,0.9722454,-1.6447153,1.0012056,0.50027287,0.052142944,0.67348635,1.4597659,0.059991483,-0.017089752,-0.006618425,0.17166911,0.030333977,0.08643637,0.10607889,0.4207133,-0.010736216,-0.24617249,-0.027722036,-0.5431152,-0.03918035,0.05051106,0.65532535,0.04552991
LP001248,1,0.9200669,-0.4400499,-0.91353124,0.3223081,-0.09618095,0.6183974,0.9791621,0.040753204,-0.08895041,-0.015364816,-0.08019722,-0.01591302,-0.06154621,0.11717366,-0.043226667,-0.014607216,0.18480438,0.016061684,0.078088485,0.0062561305,0.08930619,0.9270242,0.05539275
LP001250,0,0.03604044,0.06880485,-1.071923,0.28716612,-0.12336111,-3.3207715,-0.5055283,-0.0075364565,-0.035236858,-0.0028742007,-0.111927584,-0.011370231,0.012800258,0.08376564,-0.0795209,0.49828982,-0.5797579,-0.04893236,0.05270394,0.0022091754,0.08236042,0.75013334,-0.00399761
LP001253,1,0.89360046,0.044697087,0.3879567,-0.44386485,-0.01624465,0.49656716,-0.5550913,0.014656145,-0.016741106,-0.0034291986,0.022222627,-5.350969e-05,0.11005566,0.16773306,-0.11929498,0.37726784,0.1484509,0.012445016,-0.0055143964,0.012947403,0.090504676,0.5791226,0.045570057
LP001255,0,0.3772192,-0.43629366,-1.0625079,0.20761701,-1.0325015,0.58241,1.0859381,0.012986765,-0.13918582,-0.031631455,-0.08195415,-0.005910847,-0.115942806,0.035967488,-0.0501523,-0.025908925,0.16904248,0.016061684,0.05664518,0.0064214915,0.07752595,-0.47144175,-0.076647356
LP001256,0,0.3246596,-0.4705915,1.6043477,-0.5256211,-0.032508492,0.53658926,-1.9051939,0.019069226,-0.04497027,-0.009634014,0.043067183,-1.1646771e-05,-0.13748452,0.09532577,-0.12963496,-0.055074442,0.05496146,0.0006843172,-0.0030330631,-0.006196039,0.049196124,-0.4652924,-0.12852786
LP001259,0,0.2420873,-2.7986999,1.172888,0.258856,0.0101602245,0.5487078,0.22754923,0.028869752,-0.042082503,-0.013307476,0.1096739,0.019799957,0.049009588,-0.3694915,-0.06954261,-0.027099293,0.030692872,0.0037805703,-0.6443708,-0.06165504,0.0006647918,-0.29639387,-0.0573746
LP001263,0,0.13425285,-0.6300936,1.2397326,-0.4401928,-0.03746167,-3.4585507,-0.5419787,-0.16897058,-0.016339388,-0.0046148766,-0.099103816,-0.007349241,0.022348206,0.17121771,-0.07309593,0.66425395,0.088919505,0.0028118226,-0.016719447,-0.0067862812,0.046283513,0.59126866,0.03245819
LP001264,1,0.95592076,-0.51139176,1.2760593,0.23054461,0.015560707,0.56202847,0.70829993,0.0908716,-0.018392712,-0.0049896734,0.0030191494,7.301016e-06,0.0072830594,0.150179,-0.08948212,0.24734813,-0.5171668,-0.016274303,-0.3809679,-0.04340194,0.041650444,0.51192087,0.035883263
LP001265,1,0.96020246,-0.36440095,-0.89614314,0.28931192,0.005495142,0.6210459,1.3786167,0.047541235,0.1478165,0.036424622,-0.047385514,-0.010247718,-0.036547206,0.12151945,-0.04498174,-0.011428205,0.15961343,0.0142304525,0.078514956,0.0062561305,0.08254562,0.7949937,0.03245335
LP001266,1,0.8922939,-0.6163518,-0.84357065,0.30346876,0.028154843,0.6231114,1.3571334,0.057327572,-0.030036896,-0.008525184,0.29562658,0.03790236,0.14717838,-0.38034934,-0.043561347,-0.026858618,0.1909539,0.016061684,-0.48967332,-0.072829284,0.07341587,0.6748794,0.042836037
LP001267,0,0.19021018,-2.3045359,0.6563555,-0.5992045,0.051614657,0.49155748,1.4181526,-2.3906426,0.13790976,0.059090905,0.068319336,0.021206291,0.06307597,0.06475658,0.1665063,-0.026507702,0.100371785,0.0069673173,0.0483149,0.0028046363,0.047054198,-0.2633213,-0.046587974
LP001273,0,0.33938536,0.2511289,0.35103336,-1.3954502,-0.032584094,0.5084178,-1.723445,-0.04589988,-0.022689968,-0.007878846,0.0022560244,0.00077393174,-0.14855239,0.14671327,-0.12805055,-0.031998295,0.04835362,0.0037355083,-0.023229111,-0.008220497,0.105219744,0.6730107,0.033226267
LP001275,1,0.8372079,-0.5312168,-1.0201536,0.65826136,0.6318016,0.5944878,0.35618696,0.465579,-0.05804093,-0.021797093,0.054506686,0.003822013,0.08302204,-0.2640289,-0.04389061,-0.018140897,0.1830899,0.021420464,0.08638929,0.007134133,0.07200287,-0.3006644,-0.1002683
LP001279,1,0.97311395,-0.63390845,1.0775721,0.30099604,0.0120223425,0.5648796,0.20530666,0.015872305,-0.01459261,-0.005529388,0.012239673,-0.0017610841,0.0039061839,0.20315024,-0.08448714,-0.009844565,0.13507932,0.00406241,0.09200833,0.0025421048,0.08664317,0.80868196,0.03595557
